,unnamed: 0,region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,n_years,mean_runoff,fold,mean_check,std_runoff,lnorm_shape,lnorm_loc,lnorm_scale,log_mean_runoff,log_std_runoff,mean_uar,std_uar,log_mean_uar,log_std_uar,complete_year_mean_check,stdev_check
10,10,ERK,05AB030,6.0,-114.06028049517094,50.10905728939849,-1520.0,19.0,0.74,0.08,0.1,0.01,0.08,0.0,0.0,0.0,-0.01,0.73,0.08,0.1,0.02,0.08,0.0,0.0,0.0,-0.01,0.06,0.89,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11.016493,0.1393320686253049,1462.0045,1465.2227,1697.9468,1322.2457,1465.2227,549.4,-2.8,9.3,552.6,63.6,276.0,5.8,0.8,1.0,0.1,21.0,0.1939581643543223,0,0.18454468525027815,0.48204619366192664,12.835486341727808,0.0014399999999999999,0.000764263305433104,-3.029234883330297,1.7528709264517373,32.326360725720384,80.34103227698778,2.0867609264237843,1.752870926451737,True,0.48208907079731605
11,11,ERK,05AD003,617.3,-113.95902487070636,49.01741320834228,-1471.57,8.75441,0.55,0.13,0.25,0.01,0.01,0.0,0.03,0.0,0.02,0.54,0.16,0.24,0.01,0.01,0.0,0.03,0.0,0.0099999999999998,0.38,0.18,0.37,0.01,0.02,0.0,0.03,0.0,0.0099999999999998,23.167824,349.7919703347845,1846.6409,1833.1068,3187.4797,1274.2689,1833.1068,1303.9,-3.1,7.0,562.0,360.7,299.4,4.0,0.7,1.0,0.0,66.0,2.5046119570525285,7,2.499982693173437,3.6691535051965505,1.2457547036801884,0.12144208739710505,1.0435048077848612,0.2219261421256466,1.106202138250792,4.057365878912245,5.943874137690831,0.7043262917079335,1.106202138250792,True,3.6692296121339516
12,12,ERK,05AD031,13.8,-113.85445724375413,48.97833272362705,-1497.5,10.6566,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.59,0.16,0.21,0.02,0.02,0.0,0.0,0.0,0.0,31.968737,253.15395463956176,1993.3491,1990.4098,2694.9956,1392.6475,1990.4098,1403.7,-3.5,6.3,551.8,403.2,308.7,4.1,0.7,1.0,0.0,6.0,3.8015421388831654,7,3.6453096395487328,5.448170452227605,1.8020692757641879,0.03503364086850489,1.1261332029194564,0.23196048973910044,1.641158891569299,275.47406803501195,394.79496030634823,4.515047176558078,1.641158891569299,True,5.449784964176581
13,13,ERK,05AD033,25.2,-113.79507666544797,48.96666638787416,-1461.72,9.66292,0.45,0.23,0.28,0.02,0.02,0.0,0.01,0.0,-0.01,0.43,0.24,0.29,0.02,0.02,0.0,0.01,0.0,-0.01,0.41,0.24,0.29,0.02,0.02,0.0,0.01,0.0,0.01,31.217672,72.21140623989604,2106.6692,2098.8811,2892.2576,1550.2904,2098.8811,1525.2,-4.0,5.4,536.0,490.7,311.5,4.2,0.7,1.0,0.1,6.0,4.297808219178083,7,4.073864905853259,5.079820592116981,1.7249047465335372,0.15757155472223439,1.4673267632887466,0.6554126263863496,1.3816450997059648,170.54794520547946,201.58018222686434,4.336323910851109,1.3816450997059648,True,5.081270933500456
14,14,ERK,05BA001,427.1,-116.35234538795105,51.58627312017082,-1325.31,11.08678,0.42,0.03,0.35,0.01,0.01,0.02,0.04,0.13,-0.01,0.41,0.03,0.39,0.01,0.01,0.02,0.04,0.09,0.0,0.42,0.03,0.4,0.01,0.01,0.02,0.04,0.07,0.0,17.650345,158.11363322123262,2201.6201,2198.8594,3330.2544,1559.8314,2198.8594,917.1,-7.2,3.1,411.5,406.1,300.9,3.4,0.6,1.0,0.0,54.0,2.6154713780997785,0,2.5410258786238824,2.420679501134172,1.3515814430483288,0.13340550095314524,1.242322605613917,0.41690038357828546,1.1361190772567427,6.123791566611516,5.667711311482492,1.2676374847130016,1.1361190772567427,True,2.420766593166838
15,15,ERK,05BB001,2210.6,-116.010565941938,51.360226690748,-1396.81,13.9932,0.51,0.04,0.35,0.01,0.01,0.01,0.02,0.05,0.0,0.5,0.04,0.38,0.01,0.01,0.01,0.02,0.03,0.0,0.49,0.04,0.39,0.01,0.01,0.01,0.01,0.02,0.02,19.712914,96.65234899679024,2165.0117,2140.7241,3491.4385,1399.4758,2140.7241,807.9,-7.0,3.8,419.4,310.2,296.6,3.8,0.6,1.0,0.0,68.0,1.5151171010178623,0,1.5098327138973964,1.7255117245580351,1.2687806909555348,0.16163422418963308,0.6250883353366731,-0.11709815991337186,1.000849147447773,0.6853872708847653,0.780562618546112,-0.9103621318080898,1.000849147447773,True,1.7255464623249028
16,16,ERK,05BF016,9.3,-115.18881790191348,50.95988989559444,-1520.0,19.0,0.67,0.07,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.67,0.08,0.24,0.01,0.01,0.0,0.0,0.0,-0.01,0.62,0.09,0.27,0.01,0.01,0.0,0.0,0.0,0.0,19.818184,92.3917476514444,2115.3887,2126.3447,2797.0708,1594.6412,2126.3447,844.4,-6.7,5.5,440.0,263.7,305.4,4.6,0.7,1.1,0.1,55.0,1.3836335939581592,0,1.3603775680469916,1.9877616942753207,1.391147745282727,0.018367003178326815,0.564513585622868,-0.5034686249503376,1.321878345008638,148.77780580195258,213.73781658874415,4.174272253872589,1.321878345008638,True,1.9878324671268652
17,17,ERK,05BF017,3.2,-115.19824415868416,50.96177868469128,-1520.0,19.0,0.43,0.09,0.44,0.01,0.02,0.0,0.0,0.0,0.01,0.44,0.1,0.43,0.01,0.02,0.0,0.0,0.0,0.0,0.39,0.12,0.45,0.02,0.02,0.0,0.0,0.0,0.0,23.236765,111.203113600726,2303.4658,2269.8186,2797.0708,1749.2096,2269.8186,893.5,-7.4,4.6,422.4,325.6,313.8,4.6,0.7,1.1,0.1,24.0,1.166739223370146,0,1.162492702080653,1.957323100115107,1.5127721626081299,0.026774489707125006,0.36545123401448787,-0.8601473071124697,1.3799543919015542,364.60600730317066,611.663468785971,4.884457162063986,1.3799543919015542,True,1.957439327252178
18,18,ERK,05BF018,3.0,-115.1937409890739,50.95259711431503,-1520.0,19.0,0.74,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.04,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.07,0.27,0.0,0.01,0.0,0.0,0.0,0.0,19.782026,51.98799702951936,2156.9324,2160.7952,2579.0291,1769.0,2160.7952,879.1,-7.1,4.9,428.1,292.3,311.9,4.5,0.7,1.1,0.1,24.0,1.2137773987206826,0,1.211584831747505,2.1814723609046944,1.3535926764059047,0.0007587301443075069,0.4412152612849936,-0.8143740530616312,1.3486793296266948,404.59246624022745,727.1574536348982,4.994768937252396,1.348679329626695,True,2.1816015759121172
19,19,ERK,05BF019,2.2,-115.1793529180422,50.96854594721935,-1520.0,19.0,0.77,0.11,0.11,0.01,0.01,0.0,0.0,0.0,-0.01,0.77,0.11,0.11,0.01,0.01,0.0,0.0,0.0,-0.01,0.76,0.09,0.14,0.01,0.01,0.0,0.0,0.0,-0.01,18.47788,121.31288622551912,1997.5986,2043.1836,2740.0476,1716.5253,2043.1836,830.4,-6.4,5.8,447.0,230.6,300.3,4.6,0.7,1.1,0.1,24.0,0.8370087558101827,0,0.8407016672157726,1.4433777400373473,1.2871993666646644,0.03210385455165949,0.3308338350779401,-0.9440345869326735,1.1370881653307212,380.4585253682648,656.0807909260668,5.175263331685192,1.1370881653307212,True,1.443463560874004
